Table I,,,,,,,,,,,,,,,,,,,,
Direct-Recursive Hybrid Model,,,,,,,,,,,,,,,,,,,,
Lookahead,RMSE,MSE,MAE,MAPE,R2,,,,,,,,,,,,,,,
5 min,227.4064,15.08,9.733,0.142,0.611,,,,,,,,,,,,,,,
10 min,227.7081,15.09,9.763,0.143,0.61,,,,,,,,,,,,,,,
15 min,228.9169,15.13,9.594,0.138,0.608,,,,,,,,,,,,,,,
20 min,257.9236,16.06,11.28,0.174,0.558,,,,,,,,,,,,,,,
25 min,268.96,16.4,10.828,0.158,0.54,,,,,,,,,,,,,,,
30 min,266.0161,16.31,10.43,0.15,0.545,,,,,,,,,,,,,,,
35 min,267.9769,16.37,10.054,0.138,0.541,,,,,,,,,,,,,,,
40 min,272.9104,16.52,10.825,0.159,0.533,,,,,,,,,,,,,,,
45 min,283.9225,16.85,10.777,0.153,0.514,,,,,,,,,,,,,,,
50 min,300.3289,17.33,12.04,0.182,0.486,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
